text,created_at,clean_text,hour,weekday,day,month,sentiment,avg_gas_used,total_value,txn_count,iforest_score,iforest_anomaly,ae_error,ae_anomaly
"🚨 JUST IN: Ripple triumphs over the SEC! 🚀 #XRP Airdrop Campaign is officially underway!

1️⃣ More information: https://t.co/rcEJPGVraq

👥 Invited users: @BraveDeenyt @Tesla_incc @Vinii30593791 @DULCISPEKANBARU @tal_sen @khang_crypto @Deblir281388 @HIdk15tekndRKV7",2025-04-08 19:25:55+00:00,"🚨 just in ripple triumphs over the sec 🚀 xrp airdrop campaign is officially underway

1️⃣ more information 

👥 invited users",2025-04-08 19:00:00,1,8,4,0.171875,21545.0,0.0,1,0.2237135482865098,0,0.0023250170206362865,0
"@dlacalle_IA I accidentally clicked on this person
@Crypto_Perach
After observing for a while, I found that she's pretty good and I loved the strategies. I was opportune to earn over $24,000 every day from her SIGNAL'S",2025-04-08 19:25:55+00:00,"i accidentally clicked on this person

after observing for a while i found that shes pretty good and i loved the strategies i was opportune to earn over 24000 every day from her signals",2025-04-08 19:00:00,1,8,4,0.5499999999999999,21545.0,0.0,1,0.08979195877269264,0,0.05158239669371334,0
"@SblondOnChain Officially launching my own Private Alpha Group.

All my calls regarding crypto will be published there before it's posted on X.

First 1,000 get in. I'm closing it afterwards, 
👇👇👇
&gt;&gt;&gt; ( @Ashecrypto_Node ) 💬💬

Make sure you’re utilizing it",2025-04-08 19:25:55+00:00,"officially launching my own private alpha group

all my calls regarding crypto will be published there before its posted on x

first 1000 get in im closing it afterwards 
👇👇👇
gtgtgt    💬💬

make sure you’re utilizing it",2025-04-08 19:00:00,1,8,4,0.3375,21545.0,0.0,1,0.16238696825185284,0,0.014349428393453087,0
"🚨 JUST IN: Ripple triumphs over the SEC! 🚀 #XRP Airdrop Campaign is officially underway!

1️⃣ More information: https://t.co/fMN7xm8d0W

👥 Invited users: @crypto_meryam @TripleSight @SilverstateSS @tonylapolla7 @SnapDra87315968 @minix_a34690 @CarlosSemedo88 @HarryChua10",2025-04-08 19:25:55+00:00,"🚨 just in ripple triumphs over the sec 🚀 xrp airdrop campaign is officially underway

1️⃣ more information 

👥 invited users",2025-04-08 19:00:00,1,8,4,0.171875,21545.0,0.0,1,0.2237135482865098,0,0.0023250170206362865,0
"📈 Don’t Wait!

#ElonMusk officially introduces the X Token. 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/60JcSjqWkM

hQMLT @FitsumAber78509 @PhyllisSte97827 @emmacrd9 @tiiny_yniit @camelia72029780 @crypto_don42 @JayFro303 @XRPTO10000 @ErajAhammed5545 @mickeul02",2025-04-08 19:25:55+00:00,"📈 don’t wait

elonmusk officially introduces the x token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 

hqmlt",2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
"📈 Don’t Wait!

#ElonMusk officially introduces the X Token. 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/60JcSjqWkM

KKZal @dc15eff32d5a4c3 @Alexand09356704 @Naeemqureshi613 @lilcardthere @llama50038915 @hytiva_crypto @artofsuman @khaled_toumeh @PARIT36775863",2025-04-08 19:25:54+00:00,"📈 don’t wait

elonmusk officially introduces the x token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 

kkzal",2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
"📈 Don’t Wait!

#ElonMusk officially introduces the X Token. 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/60JcSjqWkM

xndAs @vipinyadav_1357 @hellotapan @heyitstinangg @jaykibe_ @WLi13916932434 @mmw72878 @Hollywood_Wide @SmithKaronna @btcblur @crypto_usopp @Fada91258805",2025-04-08 19:25:54+00:00,"📈 don’t wait

elonmusk officially introduces the x token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 

xndas",2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
"📈 Don’t Wait!

#ElonMusk officially introduces the X Token. 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 https://t.co/60JcSjqWkM

OCQCF @memesworldyou @lzx90359417 @alimboev1406 @BossGiber15093 @orrmadasoni @SUSANTH60622256 @ONES_CRYPTO @AlexShivelhood @hoshileeph @leokshib3zil",2025-04-08 19:25:54+00:00,"📈 don’t wait

elonmusk officially introduces the x token 🎉

➞ 𝗽𝗶𝗻 𝗽𝗼𝘀𝘁 

ocqcf",2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
@ur_crypto_fren @BlanchardPhD But feminine self presentation isn’t inherently depraved now is it. And once again this is the logic that can be used to criminalize open displays of homosexuality,2025-04-08 19:25:54+00:00,but feminine self presentation isn’t inherently depraved now is it and once again this is the logic that can be used to criminalize open displays of homosexuality,2025-04-08 19:00:00,1,8,4,0.0,21545.0,0.0,1,0.283723935696759,0,0.0016491999292718238,0
"Attention! The first 3000 users who follow me will get 1 Solana for every like and retweet on this tweet. Don’t miss out! 🚀 #Solana #Crypto #Giveaway"" https://t.co/VcB389qo85",2025-04-08 19:25:54+00:00,attention the first 3000 users who follow me will get 1 solana for every like and retweet on this tweet don’t miss out 🚀 solana crypto giveaway,2025-04-08 19:00:00,1,8,4,0.3125,21545.0,0.0,1,0.16298644751305102,0,0.011598835007143772,0
